leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.386462302,0.667114316,0.280652014,True
fl,landing,0.917871234,1.279863634,0.3619924,True
fl,liftoff,4.698414577,4.890546213,0.192131636,True
fl,landing,5.238819118,5.766953024,0.528133906,True
fl,liftoff,9.017882137,9.177839277,0.15995714,True
fl,landing,9.558405217,10.090576048,0.532170831,True
fl,liftoff,13.338186038,13.517968429,0.179782391,True
fl,landing,13.877797329,14.407447792,0.529650463,True
fl,liftoff,17.660417633,17.839729943,0.17931231,True
fl,landing,18.198764389,18.725439262,0.526674873,True
fl,liftoff,21.982512339,22.162042901,0.179530562,True
fl,landing,22.518253365,23.042616134,0.524362769,True
fl,liftoff,26.298321447,26.470821728,0.172500281,True
fl,landing,26.837744787,27.363443677,0.52569889,True
fl,liftoff,30.618156084,30.804515789,0.186359705,True
fl,landing,31.158318316,31.687285198,0.528966882,True
fl,liftoff,34.938136388,35.122308888,0.1841725,True
fl,landing,35.481362627,36.013199048,0.531836421,True
fl,liftoff,39.258041274,39.453276352,0.195235078,True
fl,landing,39.79879223,40.319205756,0.520413526,True
fl,liftoff,43.577945358,43.75133759,0.173392232,True
fl,landing,44.118771121,44.660115173,0.541344052,True
fl,liftoff,47.898367314,48.08363535,0.185268036,True
fl,landing,48.437785131,48.978020502,0.540235371,True
fl,liftoff,52.2182056,52.398094036,0.179888436,True
fl,landing,52.757801378,53.286125172,0.528323794,True
fl,liftoff,56.538414118,56.713735942,0.175321824,True
fl,landing,57.078013689,57.590757271,0.512743582,True
fl,liftoff,60.857859087,61.028858811,0.170999724,True
fl,landing,61.398210555,61.931546983,0.533336428,True
fl,liftoff,65.178613294,65.35651962,0.177906326,True
fl,landing,65.718065578,66.245579728,0.52751415,True
fl,liftoff,69.500330335,69.667554791,0.167224456,True
fl,landing,70.038233667,70.563785754,0.525552087,True
fl,liftoff,73.818059604,73.995638709,0.177579105,True
fl,landing,74.358125899,74.894605565,0.536479666,True
fl,liftoff,78.138258735,78.325210423,0.186951688,True
fl,landing,78.678723039,79.202708106,0.523985067,True
fr,liftoff,2.53782762,2.773331456,0.235503836,True
fr,landing,3.077885778,3.596823735,0.518937957,True
fr,liftoff,6.857867832,7.046112099,0.188244267,True
fr,landing,7.398393669,7.930717332,0.532323663,True
fr,liftoff,11.177857599,11.350440653,0.172583054,True
fr,landing,11.718287009,12.247445615,0.529158606,True
fr,liftoff,15.497751505,15.719990683,0.222239178,True
fr,landing,16.037833794,16.572643766,0.534809972,True
fr,liftoff,19.818165895,19.999833597,0.181667702,True
fr,landing,20.358215988,20.888175378,0.52995939,True
fr,liftoff,24.138474186,24.316325673,0.177851487,True
fr,landing,24.679541236,25.21643085,0.536889614,True
