leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.386462302,0.545073992,0.15861169,True
fl,landing,0.917871234,1.245635046,0.327763812,True
fl,liftoff,4.698414577,4.767965118,0.069550541,True
fl,landing,5.238819118,5.733597257,0.494778139,True
fl,liftoff,9.017882137,9.054643511,0.036761374,True
fl,landing,9.558405217,10.055584159,0.497178942,True
fl,liftoff,13.338186038,13.394373449,0.056187411,True
fl,landing,13.877797329,14.373111132,0.495313803,True
fl,liftoff,17.660417633,17.716304966,0.055887333,True
fl,landing,18.198764389,18.69262518,0.493860791,True
fl,liftoff,21.982512339,22.03843012,0.055917781,True
fl,landing,22.518253365,23.010148277,0.491894912,True
fl,liftoff,26.298321447,26.346783004,0.048461557,True
fl,landing,26.837744787,27.32965854,0.491913753,True
fl,liftoff,30.618156084,30.680825564,0.06266948,True
fl,landing,31.158318316,31.65371611,0.495397794,True
fl,liftoff,34.938136388,34.999203179,0.061066791,True
fl,landing,35.481362627,35.985198004,0.503835377,True
fl,liftoff,39.258041274,39.332137241,0.074095967,True
fl,landing,39.79879223,40.287133578,0.488341348,True
fl,liftoff,43.577945358,43.628134419,0.050189061,True
fl,landing,44.118771121,44.627763626,0.508992505,True
fl,liftoff,47.898367314,47.962805526,0.064438212,True
fl,landing,48.437785131,48.948417541,0.51063241,True
fl,liftoff,52.2182056,52.268114069,0.049908469,True
fl,landing,52.757801378,53.253941854,0.496140476,True
fl,liftoff,56.538414118,56.595747089,0.057332971,True
fl,landing,57.078013689,57.558352134,0.480338445,True
fl,liftoff,60.857859087,60.908339526,0.050480439,True
fl,landing,61.398210555,61.899030005,0.50081945,True
fl,liftoff,65.178613294,65.235953168,0.057339874,True
fl,landing,65.718065578,66.211483966,0.493418388,True
fl,liftoff,69.500330335,69.542696808,0.042366473,True
fl,landing,70.038233667,70.52981552,0.491581853,True
fl,liftoff,73.818059604,73.875349492,0.057289888,True
fl,landing,74.358125899,74.860637706,0.502511807,True
fl,liftoff,78.138258735,78.203787554,0.065528819,True
fl,landing,78.678723039,79.174654805,0.495931766,True
fr,liftoff,2.53782762,2.651166436,0.113338816,True
fr,landing,3.077885778,3.561902579,0.484016801,True
fr,liftoff,6.857867832,6.923427218,0.065559386,True
fr,landing,7.398393669,7.896123695,0.497730026,True
fr,liftoff,11.177857599,11.229376346,0.051518747,True
fr,landing,11.718287009,12.214754394,0.496467385,True
fr,liftoff,15.497751505,15.596903925,0.09915242,True
fr,landing,16.037833794,16.541173063,0.503339269,True
fr,liftoff,19.818165895,19.878475547,0.060309652,True
fr,landing,20.358215988,20.856312624,0.498096636,True
fr,liftoff,24.138474186,24.1952617,0.056787514,True
fr,landing,24.679541236,25.182849668,0.503308432,True
fr,liftoff,28.458313401,28.526118128,0.067804727,True
fr,landing,28.997961484,29.493580658,0.495619174,True
fr,liftoff,32.778795242,32.841778165,0.062982923,True
fr,landing,33.318699295,33.813446145,0.49474685,True
fr,liftoff,37.098152571,37.179921922,0.081769351,True
fr,landing,37.639091736,38.136380117,0.497288381,True
fr,liftoff,41.418169038,41.478609505,0.060440467,True
fr,landing,41.958538761,42.45153225,0.492993489,True
fr,liftoff,45.738116726,45.830432288,0.092315562,True
fr,landing,46.278215112,46.771159743,0.492944631,True
fr,liftoff,50.058157272,50.118113142,0.05995587,True
fr,landing,50.598341145,51.088169332,0.489828187,True
fr,liftoff,54.379536742,54.462094279,0.082557537,True
fr,landing,54.922818515,55.42261021,0.499791695,True
fr,liftoff,58.697806358,58.731679188,0.03387283,True
fr,landing,59.238869974,59.732808091,0.493938117,True
fr,liftoff,63.017992199,63.067898002,0.049905803,True
fr,landing,63.558146041,64.059930493,0.501784452,True
fr,liftoff,67.338111318,67.407010709,0.068899391,True
fr,landing,67.878375273,68.3819682,0.503592927,True
fr,liftoff,71.65821906,71.695029421,0.036810361,True
fr,landing,72.197894789,72.695203053,0.497308264,True
fr,liftoff,75.987642983,76.055465327,0.067822344,True
fr,landing,76.518058096,77.012538642,0.494480546,True
rl,liftoff,3.618270091,3.749073528,0.130803437,True
rl,landing,4.157882696,4.048070786,-0.10981191,True
rl,liftoff,7.937822612,8.062351558,0.124528946,True
rl,landing,8.478148199,8.367863517,-0.110284682,True
rl,liftoff,12.258236,12.389678402,0.131442402,True
rl,landing,12.798933565,12.700138901,-0.098794664,True
rl,liftoff,16.578850999,16.709582717,0.130731718,True
rl,landing,17.120063833,17.016899911,-0.103163922,True
rl,liftoff,20.898467721,21.032582813,0.134115092,True
rl,landing,21.43915611,21.330375613,-0.108780497,True
rl,liftoff,25.218600761,25.350351262,0.131750501,True
