marcha,escenario,par_max_nm,par_p95_nm,corriente_max_servo_estimada_a,cambio_par_max_pct
gateo,nominal,0.322610386,0.317161941,0.537849436,0.000000
gateo,masa_menos_10,0.293756167,0.288758686,0.504949045,-8.943983
gateo,masa_mas_10,0.351464604,0.345565196,0.570749828,8.943983
gateo,amortiguamiento_menos_50,0.320467413,0.315895685,0.535405959,-0.664260
gateo,amortiguamiento_mas_50,0.324753358,0.318428198,0.540292914,0.664260
gateo,friccion_articular_menos_50,0.307611052,0.302215239,0.520746774,-4.649365
gateo,friccion_articular_mas_50,0.337609719,0.332108644,0.554952098,4.649365
paso,nominal,0.317693760,0.315470360,0.532243362,0.000000
paso,masa_menos_10,0.289109533,0.287160800,0.499650822,-8.997415
paso,masa_mas_10,0.346277987,0.343779919,0.564835901,8.997415
paso,amortiguamiento_menos_50,0.316587964,0.314435758,0.530982502,-0.348070
paso,amortiguamiento_mas_50,0.318799556,0.316896083,0.533504222,0.348070
paso,friccion_articular_menos_50,0.302812390,0.301473164,0.515275205,-4.684187
paso,friccion_articular_mas_50,0.332575130,0.330257554,0.549211518,4.684187
